"anonym_id","gender","title","discipline","last_published","academia_length","phd_dissertation"
178,"Woman","Assistant Professor","Non-STEM","This year","6-10 years",NA
179,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
180,"Woman","Assistant Professor","Non-STEM","This year","6-10 years",NA
181,"Man","PhD student","Non-STEM","This year","1-5 years","3-4 articles"
182,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","In the last year","6-10 years",NA
183,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
184,"Man","Post Doc","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
185,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
186,"Man","Post Doc","Non-STEM","This year","1-5 years",NA
187,"Man","Associate Professor","Non-STEM","In the last year","More than 10 years",NA
189,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
190,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years",NA
191,"Woman","Associate Professor","Non-STEM","In the last year","More than 10 years",NA
192,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA
193,"Woman","PhD student","Non-STEM","This year","1-5 years","I don't know/ This does not apply to me/ 0 articles"
194,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
195,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
196,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
197,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
198,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
199,"Man","This does not apply to me","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
200,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
201,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
202,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
203,"Woman","Post Doc","Non-STEM","This year","6-10 years",NA
204,"Man","Assistant Professor","Non-STEM","This year","More than 10 years",NA
205,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","In the last year","6-10 years",NA
206,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
207,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","In the last year","6-10 years",NA
208,"Non-binary / third gender","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
209,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
210,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","More than 4 articles"
